ReactionName;Reaction;ReferenceValue;Unit
1;-1 BHDIV10_ed1 + 1 BHDIV10_ts1;25.65;kcal/mol
2;-1 BHDIV10_ed2 + 1 BHDIV10_ts2;56.90;kcal/mol
3;-1 BHDIV10_ed3 + 1 BHDIV10_ts3;36.53;kcal/mol
4;-1 BHDIV10_ed4 + 1 BHDIV10_ts4;96.17;kcal/mol
5;-1 BHDIV10_ed5 + 1 BHDIV10_ts5;15.94;kcal/mol
6;-1 BHDIV10_ed6 + 1 BHDIV10_ts6;13.64;kcal/mol
7;-1 BHDIV10_ed7 + 1 BHDIV10_ts7;27.49;kcal/mol
8;-1 BHDIV10_ed8 + 1 BHDIV10_ts8;50.24;kcal/mol
9;-1 BHDIV10_ed9 + 1 BHDIV10_ts9;65.84;kcal/mol
10;-1 BHDIV10_ed10 + 1 BHDIV10_ts10;64.93;kcal/mol
