ReactionName;Reaction;ReferenceValue;Unit
1;-1 BHPERI_Cyclobutene + 1 BHPERI_TS1;35.3;kcal/mol
2;-1 BHPERI_cis-1,3,5-Hexatriene + 1 BHPERI_TS2;30.8;kcal/mol
3;-1 BHPERI_ortho-xylylene + 1 BHPERI_TS3;28.1;kcal/mol
4;-1 BHPERI_1,3-Pentadiene + 1 BHPERI_TS4;39.7;kcal/mol
5;-1 BHPERI_1,3-Cyclopentadiene + 1 BHPERI_TS5;28.3;kcal/mol
6;-1 BHPERI_1,5-Hexadiene + 1 BHPERI_TS6;35.8;kcal/mol
7;-1 BHPERI_1,3-Butadiene + -1 BHPERI_Ethylene + 1 BHPERI_TS7;22.3;kcal/mol
8;-1 BHPERI_1,3-Cyclopentadiene + -1 BHPERI_Ethylene + 1 BHPERI_TS8;18.0;kcal/mol
9;-2 BHPERI_1,3-Cyclopentadiene + 1 BHPERI_TS11;14.5;kcal/mol
10;-1 BHPERI_Cis-triscyclopropacyclohexane + 1 BHPERI_TS9;26.4;kcal/mol
11;-1 BHPERI_13r_1 + -1 BHPERI_13_c2h4 + 1 BHPERI_13ts_1a;27.6;kcal/mol
12;-1 BHPERI_13r_2 + -1 BHPERI_13_c2h4 + 1 BHPERI_13ts_2a;20.0;kcal/mol
13;-1 BHPERI_13r_3 + -1 BHPERI_13_c2h4 + 1 BHPERI_13ts_3a;13.8;kcal/mol
14;-1 BHPERI_13r_4 + -1 BHPERI_13_c2h4 + 1 BHPERI_13ts_4a;11.8;kcal/mol
15;-1 BHPERI_13r_5 + -1 BHPERI_13_c2h4 + 1 BHPERI_13ts_5a;6.5;kcal/mol
16;-1 BHPERI_13r_6 + -1 BHPERI_13_c2h4 + 1 BHPERI_13ts_6a;4.7;kcal/mol
17;-1 BHPERI_13r_7 + -1 BHPERI_13_c2h4 + 1 BHPERI_13ts_7a;13.1;kcal/mol
18;-1 BHPERI_13r_8 + -1 BHPERI_13_c2h4 + 1 BHPERI_13ts_8a;5.9;kcal/mol
19;-1 BHPERI_13r_9 + -1 BHPERI_13_c2h4 + 1 BHPERI_13ts_9a;0.5;kcal/mol
20;-1 BHPERI_02r + -1 BHPERI_00r + 1 BHPERI_02ts;18.1;kcal/mol
21;-1 BHPERI_03r + -1 BHPERI_00r + 1 BHPERI_03ts;16.6;kcal/mol
22;-1 BHPERI_04r + -1 BHPERI_00r + 1 BHPERI_04ts;22.9;kcal/mol
23;-1 BHPERI_05r + -1 BHPERI_00r + 1 BHPERI_06ts;27.8;kcal/mol
24;-1 BHPERI_07r + -1 BHPERI_00r + 1 BHPERI_07ts;21.3;kcal/mol
25;-1 BHPERI_07r + -1 BHPERI_00r + 1 BHPERI_08ts;21.6;kcal/mol
26;-1 BHPERI_09r + -1 BHPERI_00r + 1 BHPERI_09ts;31.3;kcal/mol
