ReactionName;Reaction;ReferenceValue;Unit
1;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B2;0.15;kcal/mol
2;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B3;0.30;kcal/mol
3;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B4;1.31;kcal/mol
4;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B5;1.44;kcal/mol
5;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B6;1.72;kcal/mol
6;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B7;2.07;kcal/mol
7;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B8;1.77;kcal/mol
8;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B9;2.25;kcal/mol
9;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B10;2.03;kcal/mol
10;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B11;2.10;kcal/mol
11;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B12;2.00;kcal/mol
12;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B13;2.15;kcal/mol
13;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B14;2.22;kcal/mol
14;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B15;2.42;kcal/mol
15;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B16;2.23;kcal/mol
16;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B17;2.25;kcal/mol
17;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B18;2.58;kcal/mol
18;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B19;2.59;kcal/mol
19;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B20;2.63;kcal/mol
20;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B21;2.48;kcal/mol
21;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B22;2.74;kcal/mol
22;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B23;2.55;kcal/mol
23;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B24;2.53;kcal/mol
24;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B25;2.72;kcal/mol
25;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B26;2.69;kcal/mol
26;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B27;2.49;kcal/mol
27;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B28;2.72;kcal/mol
28;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B29;2.83;kcal/mol
29;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B30;2.85;kcal/mol
30;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B31;2.85;kcal/mol
31;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B32;2.52;kcal/mol
32;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B33;2.63;kcal/mol
33;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B34;3.10;kcal/mol
34;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B35;2.72;kcal/mol
35;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B36;2.83;kcal/mol
36;-1 BUT14DIOL_B1 + 1 BUT14DIOL_B37;2.79;kcal/mol
