ReactionName;Reaction;ReferenceValue;Unit
1;-1 DARC_ethene + -1 DARC_butadiene + 1 DARC_P1/;-45.4;kcal/mol
2;-1 DARC_ethine + -1 DARC_butadiene + 1 DARC_P2/;-60.8;kcal/mol
3;-1 DARC_ethene + -1 DARC_cpdiene + 1 DARC_P3/;-29.9;kcal/mol
4;-1 DARC_ethine + -1 DARC_cpdiene + 1 DARC_P4/;-33.6;kcal/mol
5;-1 DARC_ethene + -1 DARC_chdiene + 1 DARC_P5/;-37.6;kcal/mol
6;-1 DARC_ethine + -1 DARC_chdiene + 1 DARC_P6/;-49.0;kcal/mol
7;-1 DARC_furane + -1 DARC_malein + 1 DARC_P7/;-14.0;kcal/mol
8;-1 DARC_furane + -1 DARC_malein + 1 DARC_P7X/;-15.9;kcal/mol
9;-1 DARC_furane + -1 DARC_maleinNH + 1 DARC_P8/;-16.8;kcal/mol
10;-1 DARC_furane + -1 DARC_maleinNH + 1 DARC_P8X/;-18.9;kcal/mol
11;-1 DARC_cpdiene + -1 DARC_malein + 1 DARC_P9/;-31.7;kcal/mol
12;-1 DARC_cpdiene + -1 DARC_malein + 1 DARC_P9X/;-32.2;kcal/mol
13;-1 DARC_cpdiene + -1 DARC_maleinNH + 1 DARC_P10/;-34.2;kcal/mol
14;-1 DARC_cpdiene + -1 DARC_maleinNH + 1 DARC_P10X/;-34.6;kcal/mol
