ReactionName;Reaction;ReferenceValue;Unit
1;-1 DIPCS10_c4h4 + 1 DIPCS10_c4h4_2+;529.2;kcal/mol
2;-1 DIPCS10_c2h6 + 1 DIPCS10_c2h6_2+;667.1;kcal/mol
3;-1 DIPCS10_c2h4 + 1 DIPCS10_c2h4_2+;655.8;kcal/mol
4;-1 DIPCS10_n2h2 + 1 DIPCS10_n2h2_2+;626.9;kcal/mol
5;-1 DIPCS10_nh3 + 1 DIPCS10_nh3_2+;776.5;kcal/mol
6;-1 DIPCS10_ch2o + 1 DIPCS10_ch2o_2+;747.6;kcal/mol
7;-1 DIPCS10_h2s + 1 DIPCS10_h2s_2+;733.0;kcal/mol
8;-1 DIPCS10_ph3 + 1 DIPCS10_ph3_2+;649.6;kcal/mol
9;-1 DIPCS10_mg + 1 DIPCS10_mg_2+;522.1;kcal/mol
10;-1 DIPCS10_be + 1 DIPCS10_be_2+;634.8;kcal/mol
