ReactionName;Reaction;ReferenceValue;Unit
1;1 G21EA_EA_c + -1 G21EA_EA_c-;29.2;kcal/mol
2;1 G21EA_EA_o + -1 G21EA_EA_o-;33.7;kcal/mol
3;1 G21EA_EA_f + -1 G21EA_EA_f-;78.4;kcal/mol
4;1 G21EA_EA_si + -1 G21EA_EA_si-;32.1;kcal/mol
5;1 G21EA_EA_p + -1 G21EA_EA_p-;17.3;kcal/mol
6;1 G21EA_EA_s + -1 G21EA_EA_s-;48.0;kcal/mol
7;1 G21EA_EA_cl + -1 G21EA_EA_cl-;83.5;kcal/mol
8;1 G21EA_EA_8n + -1 G21EA_EA_8;27.9;kcal/mol
9;1 G21EA_EA_9n + -1 G21EA_EA_9;13.4;kcal/mol
10;1 G21EA_EA_10n + -1 G21EA_EA_10;1.2;kcal/mol
11;1 G21EA_EA_11n + -1 G21EA_EA_11;8.3;kcal/mol
12;1 G21EA_EA_12n + -1 G21EA_EA_12;16.8;kcal/mol
13;1 G21EA_EA_13n + -1 G21EA_EA_13;41.7;kcal/mol
14;1 G21EA_EA_14n + -1 G21EA_EA_14;29.3;kcal/mol
15;1 G21EA_EA_15n + -1 G21EA_EA_15;25.1;kcal/mol
16;1 G21EA_EA_16n + -1 G21EA_EA_16;31.4;kcal/mol
17;1 G21EA_EA_17n + -1 G21EA_EA_17;23.5;kcal/mol
18;1 G21EA_EA_18n + -1 G21EA_EA_18;28.8;kcal/mol
19;1 G21EA_EA_19n + -1 G21EA_EA_19;54.2;kcal/mol
20;1 G21EA_EA_20n + -1 G21EA_EA_20;9.5;kcal/mol
21;1 G21EA_EA_21n + -1 G21EA_EA_21;-0.2;kcal/mol
22;1 G21EA_EA_22n + -1 G21EA_EA_22;89.5;kcal/mol
23;1 G21EA_EA_23n + -1 G21EA_EA_23;24.9;kcal/mol
24;1 G21EA_EA_24n + -1 G21EA_EA_24;38.0;kcal/mol
25;1 G21EA_EA_25n + -1 G21EA_EA_25;54.7;kcal/mol
