ReactionName;Reaction;ReferenceValue;Unit
1;-1 ICONF_N3H5_1 + 1 ICONF_N3H5_2;0.90;kcal/mol
2;-1 ICONF_N3H5_1 + 1 ICONF_N3H5_3;5.29;kcal/mol
3;-1 ICONF_N4H6_1 + 1 ICONF_N4H6_2;0.13;kcal/mol
4;-1 ICONF_N4H6_1 + 1 ICONF_N4H6_3;2.33;kcal/mol
5;-1 ICONF_N3P3H12_1 + 1 ICONF_N3P3H12_2;12.16;kcal/mol
6;-1 ICONF_SI5H12_1 + 1 ICONF_SI5H12_2;0.10;kcal/mol
7;-1 ICONF_SI5H12_1 + 1 ICONF_SI5H12_3;1.03;kcal/mol
8;-1 ICONF_SI5H12_1 + 1 ICONF_SI5H12_4;3.51;kcal/mol
9;-1 ICONF_SI6H12_1 + 1 ICONF_SI6H12_2;1.69;kcal/mol
10;-1 ICONF_P7H7_1 + 1 ICONF_P7H7_2;1.40;kcal/mol
11;-1 ICONF_S4O4_1 + 1 ICONF_S4O4_2;4.39;kcal/mol
12;-1 ICONF_S8_1 + 1 ICONF_S8_2;9.16;kcal/mol
13;-1 ICONF_H2S2O7_1 + 1 ICONF_H2S2O7_2;0.55;kcal/mol
14;-1 ICONF_H2S2O7_1 + 1 ICONF_H2S2O7_3;3.55;kcal/mol
15;-1 ICONF_H4P2O7_1 + 1 ICONF_H4P2O7_2;1.33;kcal/mol
16;-1 ICONF_H4P2O7_1 + 1 ICONF_H4P2O7_3;3.66;kcal/mol
17;-1 ICONF_H4P2O7_1 + 1 ICONF_H4P2O7_4;4.35;kcal/mol
