ReactionName;Reaction;ReferenceValue;Unit
1;-1 INV24_H2O + 1 INV24_H2O_TS;31.7;kcal/mol
2;-1 INV24_H2S + 1 INV24_H2S_TS;69.3;kcal/mol
3;-1 INV24_SO2 + 1 INV24_SO2_TS;60.6;kcal/mol
4;-1 INV24_Ether + 1 INV24_Ether_TS;37.0;kcal/mol
5;-1 INV24_Thioether + 1 INV24_Thioether_TS;74.2;kcal/mol
6;-1 INV24_NMe3 + 1 INV24_NMe3_TS;9.7;kcal/mol
7;-1 INV24_NCl3 + 1 INV24_NCl3_TS;18.9;kcal/mol
8;-1 INV24_PMe3 + 1 INV24_PMe3_TS;43.2;kcal/mol
9;-1 INV24_PCl3 + 1 INV24_PCl3_TS;79.7;kcal/mol
10;-1 INV24_PH2Ph + 1 INV24_PH2Ph_TS;31.2;kcal/mol
11;-1 INV24_PPh3 + 1 INV24_PPh3_TS;29.3;kcal/mol
12;-1 INV24_Dibenzocycloheptene + 1 INV24_Dibenzocycloheptene_TS;10.3;kcal/mol
13;-1 INV24_Tetrahelicene + 1 INV24_Tetrahelicene_TS;4.5;kcal/mol
14;-1 INV24_Pentahelicene + 1 INV24_Pentahelicene_TS;24.7;kcal/mol
15;-1 INV24_Hexahelicene + 1 INV24_Hexahelicene_TS;37.6;kcal/mol
16;-1 INV24_Dibenzocarbazole + 1 INV24_Dibenzocarbazole_TS;4.1;kcal/mol
17;-1 INV24_Methinecyanine + 1 INV24_Methinecyanine_TS;13.1;kcal/mol
18;-1 INV24_Corannulene + 1 INV24_Corannulene_TS;11.2;kcal/mol
19;-1 INV24_BN_Corannulene + 1 INV24_BN_Corannulene_TS;6.2;kcal/mol
20;-1 INV24_Sumanene + 1 INV24_Sumanene_TS;21.3;kcal/mol
21;-1 INV24_Triazasumanene + 1 INV24_Triazasumanene_TS;42.3;kcal/mol
22;-1 INV24_BN_Sumanene + 1 INV24_BN_Sumanene_TS;27.2;kcal/mol
23;-1 INV24_Tetrabenzopyracylene + 1 INV24_Tetrabenzopyracylene_TS;8.4;kcal/mol
24;-1 INV24_Triindenotriphenylene + 1 INV24_Triindenotriphenylene_TS;68.6;kcal/mol
