1;-1 ISOL24_i1e + 1 ISOL24_i1p;71.01;kcal/mol
2;-1 ISOL24_i2e + 1 ISOL24_i2p;38.50;kcal/mol
3;-1 ISOL24_i3e + 1 ISOL24_i3p;10.69;kcal/mol
4;-1 ISOL24_i4e + 1 ISOL24_i4p;69.03;kcal/mol
5;-1 ISOL24_i5e + 1 ISOL24_i5p;33.08;kcal/mol
6;-1 ISOL24_i6e + 1 ISOL24_i6p;24.41;kcal/mol
7;-1 ISOL24_i7e + 1 ISOL24_i7p;17.88;kcal/mol
8;-1 ISOL24_i8e + 1 ISOL24_i8p;22.04;kcal/mol
9;-1 ISOL24_i9e + 1 ISOL24_i9p;21.09;kcal/mol
10;-1 ISOL24_i10e + 1 ISOL24_i10p;6.49;kcal/mol
11;-1 ISOL24_i11e + 1 ISOL24_i11p;36.90;kcal/mol
12;-1 ISOL24_i12e + 1 ISOL24_i12p;0.42;kcal/mol
13;-1 ISOL24_i13e + 1 ISOL24_i13p;33.02;kcal/mol
14;-1 ISOL24_i14e + 1 ISOL24_i14p;5.32;kcal/mol
15;-1 ISOL24_i15e + 1 ISOL24_i15p;4.14;kcal/mol
16;-1 ISOL24_i16e + 1 ISOL24_i16p;23.00;kcal/mol
17;-1 ISOL24_i17e + 1 ISOL24_i17p;9.83;kcal/mol
18;-1 ISOL24_i18e + 1 ISOL24_i18p;24.14;kcal/mol
19;-1 ISOL24_i19e + 1 ISOL24_i19p;18.04;kcal/mol
20;-1 ISOL24_i20e + 1 ISOL24_i20p;4.97;kcal/mol
21;-1 ISOL24_i21e + 1 ISOL24_i21p;11.90;kcal/mol
22;1 ISOL24_i22e + -1 ISOL24_i22p;0.14;kcal/mol
23;-1 ISOL24_i23e + 1 ISOL24_i23p;24.61;kcal/mol
24;-1 ISOL24_i24e + 1 ISOL24_i24p;15.40;kcal/mol
