ReactionName;Reaction;ReferenceValue;Unit
1;-2 MB16-43_01 + -4 MB16-43_H2 + 4 MB16-43_BH3 + 2 MB16-43_N2 + 2 MB16-43_O2 + 1 MB16-43_F2 + 2 MB16-43_NaH + 2 MB16-43_AlH3 + 1 MB16-43_Cl2;869.5971;kcalmol
2;-2 MB16-43_02 + -6 MB16-43_H2 + 2 MB16-43_LiH + 4 MB16-43_BH3 + 1 MB16-43_O2 + 1 MB16-43_F2 + 2 MB16-43_MgH2 + 2 MB16-43_SiH4 + 2 MB16-43_S2;737.7865;kcalmol
3;-2 MB16-43_03 + -13 MB16-43_H2 + 2 MB16-43_LiH + 6 MB16-43_CH4 + 1 MB16-43_O2 + 1 MB16-43_F2 + 2 MB16-43_NaH + 2 MB16-43_MgH2 + 2 MB16-43_AlH3 + 1 MB16-43_S2;518.6576;kcalmol
4;-2 MB16-43_04 + -17 MB16-43_H2 + 6 MB16-43_BH3 + 2 MB16-43_CH4 + 1 MB16-43_O2 + 1 MB16-43_F2 + 2 MB16-43_AlH3 + 4 MB16-43_SiH4;356.8481;kcalmol
5;-2 MB16-43_05 + -4 MB16-43_H2 + 4 MB16-43_BH3 + 2 MB16-43_N2 + 2 MB16-43_SiH4 + 4 MB16-43_P2 + 1 MB16-43_Cl2;147.6828;kcalmol
6;-2 MB16-43_06 + -10 MB16-43_H2 + 6 MB16-43_BH3 + 2 MB16-43_CH4 + 1 MB16-43_N2 + 1 MB16-43_O2 + 2 MB16-43_MgH2 + 2 MB16-43_AlH3;368.4941;kcalmol
7;-2 MB16-43_07 + -7 MB16-43_H2 + 2 MB16-43_BH3 + 4 MB16-43_CH4 + 1 MB16-43_N2 + 1 MB16-43_O2 + 2 MB16-43_F2 + 2 MB16-43_MgH2 + 1 MB16-43_S2 + 1 MB16-43_Cl2;557.9836;kcalmol
8;-2 MB16-43_08 + -17 MB16-43_H2 + 2 MB16-43_BeH2 + 6 MB16-43_BH3 + 4 MB16-43_CH4 + 2 MB16-43_O2 + 2 MB16-43_F2 + 2 MB16-43_AlH3;681.9598;kcalmol
9;-2 MB16-43_09 + -6 MB16-43_H2 + 2 MB16-43_LiH + 4 MB16-43_BH3 + 2 MB16-43_CH4 + 1 MB16-43_F2 + 2 MB16-43_SiH4 + 1 MB16-43_Cl2;381.4301;kcalmol
10;-2 MB16-43_10 + -14 MB16-43_H2 + 2 MB16-43_BH3 + 6 MB16-43_CH4 + 1 MB16-43_N2 + 1 MB16-43_F2 + 2 MB16-43_MgH2 + 2 MB16-43_SiH4 + 1 MB16-43_Cl2;46.3073;kcalmol
11;-2 MB16-43_11 + -12 MB16-43_H2 + 4 MB16-43_BH3 + 4 MB16-43_CH4 + 1 MB16-43_N2 + 1 MB16-43_O2 + 1 MB16-43_F2 + 2 MB16-43_MgH2 + 2 MB16-43_AlH3;294.4058;kcalmol
12;-2 MB16-43_12 + -11 MB16-43_H2 + 4 MB16-43_BH3 + 2 MB16-43_CH4 + 2 MB16-43_N2 + 1 MB16-43_O2 + 1 MB16-43_F2 + 4 MB16-43_AlH3 + 1 MB16-43_P2 + 1 MB16-43_Cl2;453.0647;kcalmol
13;-2 MB16-43_13 + -5 MB16-43_H2 + 4 MB16-43_CH4 + 4 MB16-43_N2 + 2 MB16-43_O2 + 2 MB16-43_MgH2 + 2 MB16-43_S2;19.8751;kcalmol
14;-2 MB16-43_14 + -9 MB16-43_H2 + 2 MB16-43_LiH + 4 MB16-43_BH3 + 1 MB16-43_O2 + 4 MB16-43_AlH3 + 2 MB16-43_SiH4 + 1 MB16-43_Cl2;384.8895;kcalmol
15;-2 MB16-43_15 + -15 MB16-43_H2 + 4 MB16-43_BH3 + 2 MB16-43_CH4 + 2 MB16-43_NaH + 2 MB16-43_AlH3 + 4 MB16-43_SiH4 + 1 MB16-43_S2 + 1 MB16-43_Cl2;216.0961;kcalmol
16;-2 MB16-43_16 + -19 MB16-43_H2 + 2 MB16-43_LiH + 6 MB16-43_BH3 + 1 MB16-43_O2 + 4 MB16-43_MgH2 + 2 MB16-43_AlH3 + 4 MB16-43_SiH4;326.7567;kcalmol
17;-2 MB16-43_17 + -9 MB16-43_H2 + 4 MB16-43_BH3 + 2 MB16-43_CH4 + 1 MB16-43_O2 + 3 MB16-43_F2 + 2 MB16-43_MgH2 + 2 MB16-43_SiH4;653.5931;kcalmol
18;-2 MB16-43_18 + -4 MB16-43_H2 + 6 MB16-43_BH3 + 1 MB16-43_N2 + 1 MB16-43_O2 + 1 MB16-43_F2 + 2 MB16-43_AlH3 + 1 MB16-43_Cl2;580.8610;kcalmol
19;-2 MB16-43_19 + -7 MB16-43_H2 + 2 MB16-43_LiH + 4 MB16-43_BH3 + 1 MB16-43_O2 + 1 MB16-43_F2 + 4 MB16-43_AlH3 + 2 MB16-43_P2 + 1 MB16-43_S2;664.5600;kcalmol
20;-2 MB16-43_20 + -11 MB16-43_H2 + 6 MB16-43_BH3 + 4 MB16-43_CH4 + 2 MB16-43_N2 + 2 MB16-43_F2 + 1 MB16-43_P2;242.8055;kcalmol
21;-2 MB16-43_21 + -7 MB16-43_H2 + 2 MB16-43_BH3 + 2 MB16-43_O2 + 2 MB16-43_NaH + 4 MB16-43_MgH2 + 4 MB16-43_AlH3 + 1 MB16-43_Cl2;806.2253;kcalmol
22;-2 MB16-43_22 + -3 MB16-43_H2 + 6 MB16-43_BH3 + 2 MB16-43_O2 + 1 MB16-43_F2 + 2 MB16-43_MgH2 + 1 MB16-43_P2;706.2037;kcalmol
23;-2 MB16-43_23 + -20 MB16-43_H2 + 8 MB16-43_BH3 + 2 MB16-43_CH4 + 1 MB16-43_F2 + 2 MB16-43_MgH2 + 4 MB16-43_SiH4 + 1 MB16-43_Cl2;215.3928;kcalmol
24;-2 MB16-43_24 + -8 MB16-43_H2 + 2 MB16-43_BH3 + 1 MB16-43_O2 + 4 MB16-43_F2 + 2 MB16-43_AlH3 + 4 MB16-43_SiH4 + 1 MB16-43_S2;1070.6395;kcalmol
25;-1 MB16-43_25 + -5 MB16-43_H2 + 2 MB16-43_BH3 + 1 MB16-43_O2 + 1 MB16-43_F2 + 1 MB16-43_AlH3 + 2 MB16-43_SiH4;322.4904;kcalmol
26;-2 MB16-43_26 + -8 MB16-43_H2 + 2 MB16-43_BH3 + 2 MB16-43_CH4 + 2 MB16-43_O2 + 2 MB16-43_MgH2 + 2 MB16-43_AlH3 + 2 MB16-43_SiH4 + 1 MB16-43_P2;373.6680;kcalmol
27;-2 MB16-43_27 + -12 MB16-43_H2 + 2 MB16-43_BH3 + 6 MB16-43_CH4 + 2 MB16-43_N2 + 1 MB16-43_O2 + 2 MB16-43_AlH3 + 1 MB16-43_S2 + 1 MB16-43_Cl2;114.9666;kcalmol
28;-2 MB16-43_28 + 4 MB16-43_BH3 + 2 MB16-43_N2 + 1 MB16-43_O2 + 1 MB16-43_F2 + 2 MB16-43_AlH3;325.1213;kcalmol
29;-2 MB16-43_29 + -9 MB16-43_H2 + 2 MB16-43_LiH + 4 MB16-43_BH3 + 2 MB16-43_CH4 + 1 MB16-43_N2 + 3 MB16-43_F2 + 2 MB16-43_SiH4 + 1 MB16-43_S2;695.1032;kcalmol
30;-2 MB16-43_30 + -12 MB16-43_H2 + 4 MB16-43_LiH + 2 MB16-43_BH3 + 2 MB16-43_CH4 + 5 MB16-43_F2 + 2 MB16-43_AlH3 + 2 MB16-43_SiH4 + 1 MB16-43_S2;1290.7358;kcalmol
31;-2 MB16-43_31 + -8 MB16-43_H2 + 4 MB16-43_BH3 + 2 MB16-43_CH4 + 1 MB16-43_O2 + 1 MB16-43_F2 + 2 MB16-43_AlH3 + 4 MB16-43_P2 + 1 MB16-43_Cl2;534.9003;kcalmol
32;-2 MB16-43_32 + -11 MB16-43_H2 + 2 MB16-43_LiH + 6 MB16-43_BH3 + 1 MB16-43_N2 + 2 MB16-43_F2 + 2 MB16-43_AlH3 + 2 MB16-43_SiH4 + 1 MB16-43_S2;685.5818;kcalmol
33;-2 MB16-43_33 + -6 MB16-43_H2 + 4 MB16-43_BH3 + 2 MB16-43_CH4 + 2 MB16-43_N2 + 1 MB16-43_F2 + 2 MB16-43_AlH3 + 2 MB16-43_S2;312.6925;kcalmol
