ReactionName;Reaction;ReferenceValue;Unit
1;-1 MCONF_1 + 1 MCONF_2;0.39;kcal/mol
2;-1 MCONF_1 + 1 MCONF_3;1.74;kcal/mol
3;-1 MCONF_1 + 1 MCONF_4;1.16;kcal/mol
4;-1 MCONF_1 + 1 MCONF_5;2.20;kcal/mol
5;-1 MCONF_1 + 1 MCONF_6;2.20;kcal/mol
6;-1 MCONF_1 + 1 MCONF_7;2.68;kcal/mol
7;-1 MCONF_1 + 1 MCONF_8;2.92;kcal/mol
8;-1 MCONF_1 + 1 MCONF_9;2.23;kcal/mol
9;-1 MCONF_1 + 1 MCONF_10;2.84;kcal/mol
10;-1 MCONF_1 + 1 MCONF_11;4.24;kcal/mol
11;-1 MCONF_1 + 1 MCONF_12;4.45;kcal/mol
12;-1 MCONF_1 + 1 MCONF_13;3.60;kcal/mol
13;-1 MCONF_1 + 1 MCONF_14;2.25;kcal/mol
14;-1 MCONF_1 + 1 MCONF_15;3.74;kcal/mol
15;-1 MCONF_1 + 1 MCONF_16;5.00;kcal/mol
16;-1 MCONF_1 + 1 MCONF_17;5.11;kcal/mol
17;-1 MCONF_1 + 1 MCONF_18;3.18;kcal/mol
18;-1 MCONF_1 + 1 MCONF_19;3.83;kcal/mol
19;-1 MCONF_1 + 1 MCONF_20;3.80;kcal/mol
20;-1 MCONF_1 + 1 MCONF_21;3.11;kcal/mol
21;-1 MCONF_1 + 1 MCONF_22;5.27;kcal/mol
22;-1 MCONF_1 + 1 MCONF_23;5.31;kcal/mol
23;-1 MCONF_1 + 1 MCONF_24;4.50;kcal/mol
24;-1 MCONF_1 + 1 MCONF_25;3.85;kcal/mol
25;-1 MCONF_1 + 1 MCONF_26;4.55;kcal/mol
26;-1 MCONF_1 + 1 MCONF_27;4.76;kcal/mol
27;-1 MCONF_1 + 1 MCONF_28;4.37;kcal/mol
28;-1 MCONF_1 + 1 MCONF_29;5.27;kcal/mol
29;-1 MCONF_1 + 1 MCONF_30;5.67;kcal/mol
30;-1 MCONF_1 + 1 MCONF_31;4.86;kcal/mol
31;-1 MCONF_1 + 1 MCONF_32;6.24;kcal/mol
32;-1 MCONF_1 + 1 MCONF_33;6.26;kcal/mol
33;-1 MCONF_1 + 1 MCONF_34;5.85;kcal/mol
34;-1 MCONF_1 + 1 MCONF_35;5.37;kcal/mol
35;-1 MCONF_1 + 1 MCONF_36;5.53;kcal/mol
36;-1 MCONF_1 + 1 MCONF_37;7.53;kcal/mol
37;-1 MCONF_1 + 1 MCONF_38;5.88;kcal/mol
38;-1 MCONF_1 + 1 MCONF_39;5.58;kcal/mol
39;-1 MCONF_1 + 1 MCONF_40;6.98;kcal/mol
40;-1 MCONF_1 + 1 MCONF_41;7.07;kcal/mol
41;-1 MCONF_1 + 1 MCONF_42;6.39;kcal/mol
42;-1 MCONF_1 + 1 MCONF_43;7.32;kcal/mol
43;-1 MCONF_1 + 1 MCONF_44;7.39;kcal/mol
44;-1 MCONF_1 + 1 MCONF_45;6.18;kcal/mol
45;-1 MCONF_1 + 1 MCONF_46;7.82;kcal/mol
46;-1 MCONF_1 + 1 MCONF_47;7.89;kcal/mol
47;-1 MCONF_1 + 1 MCONF_48;6.74;kcal/mol
48;-1 MCONF_1 + 1 MCONF_49;8.19;kcal/mol
49;-1 MCONF_1 + 1 MCONF_50;8.20;kcal/mol
50;-1 MCONF_1 + 1 MCONF_51;7.28;kcal/mol
51;-1 MCONF_1 + 1 MCONF_52;8.75;kcal/mol
