1;-1 PArel_A0 + 1 PArel_A1;1.61;kcal/mol
2;-1 PArel_A0 + 1 PArel_A2;8.50;kcal/mol
3;-1 PArel_T1 + 1 PArel_T0;2.94;kcal/mol
4;-1 PArel_T1 + 1 PArel_T2;6.22;kcal/mol
5;-1 PArel_T1 + 1 PArel_T3;7.19;kcal/mol
6;-1 PArel_arg2 + 1 PArel_arg0;2.38;kcal/mol
7;-1 PArel_his1 + 1 PArel_his2;1.19;kcal/mol
8;-1 PArel_his1 + 1 PArel_his0;0.79;kcal/mol
9;-1 PArel_his1 + 1 PArel_his3;7.05;kcal/mol
10;-1 PArel_sugar0 + 1 PArel_sugar2;2.98;kcal/mol
11;-1 PArel_sugar0 + 1 PArel_sugar4;3.41;kcal/mol
12;-1 PArel_sugar0 + 1 PArel_sugar3;3.21;kcal/mol
13;-1 PArel_aminocoohbz2 + 1 PArel_aminocoohbz1;0.60;kcal/mol
14;-1 PArel_aminocoohbz2 + 1 PArel_aminocoohbz3;7.21;kcal/mol
15;-1 PArel_h4p2o71 + 1 PArel_h4p2o72;2.36;kcal/mol
16;-1 PArel_h2s2o71 + 1 PArel_h2s2o72;17.88;kcal/mol
17;-1 PArel_s4o42 + 1 PArel_s4o41;11.20;kcal/mol
18;-1 PArel_c2h2f41 + 1 PArel_c2h2f42;1.27;kcal/mol
19;-1 PArel_c2cl43 + 1 PArel_c2cl42;2.47;kcal/mol
20;-1 PArel_c2cl43 + 1 PArel_c2cl41;2.15;kcal/mol
