ReactionName;Reaction;ReferenceValue;Unit
1;-1 PNICO23_1 + 1 PNICO23_1a + 1 PNICO23_1b;1.43;kcal/mol
2;-1 PNICO23_2 + 1 PNICO23_2a + 1 PNICO23_2b;8.02;kcal/mol
3;-1 PNICO23_3 + 1 PNICO23_3a + 1 PNICO23_3b;0.64;kcal/mol
4;-1 PNICO23_4 + 1 PNICO23_4a + 1 PNICO23_4b;4.26;kcal/mol
5;-1 PNICO23_5 + 1 PNICO23_5a + 1 PNICO23_5b;2.86;kcal/mol
6;-1 PNICO23_6 + 1 PNICO23_6a + 1 PNICO23_6b;1.32;kcal/mol
7;-1 PNICO23_7 + 1 PNICO23_7a + 1 PNICO23_7b;4.29;kcal/mol
8;-1 PNICO23_8 + 1 PNICO23_8a + 1 PNICO23_8b;2.63;kcal/mol
9;-1 PNICO23_9 + 1 PNICO23_9a + 1 PNICO23_9b;4.91;kcal/mol
10;-1 PNICO23_10 + 1 PNICO23_10a + 1 PNICO23_10b;2.21;kcal/mol
11;-1 PNICO23_11 + 1 PNICO23_11a + 1 PNICO23_11b;1.40;kcal/mol
12;-1 PNICO23_12 + 1 PNICO23_12a + 1 PNICO23_12b;2.62;kcal/mol
13;-1 PNICO23_13 + 1 PNICO23_13a + 1 PNICO23_13b;3.98;kcal/mol
14;-1 PNICO23_14 + 1 PNICO23_14a + 1 PNICO23_14b;4.10;kcal/mol
15;-1 PNICO23_15 + 1 PNICO23_15a + 1 PNICO23_15b;4.34;kcal/mol
16;-1 PNICO23_16 + 1 PNICO23_16a + 1 PNICO23_16b;1.78;kcal/mol
17;-1 PNICO23_17 + 1 PNICO23_17a + 1 PNICO23_17b;7.10;kcal/mol
18;-1 PNICO23_18 + 1 PNICO23_18a + 1 PNICO23_18b;2.35;kcal/mol
19;-1 PNICO23_19 + 1 PNICO23_19a + 1 PNICO23_19b;5.95;kcal/mol
20;-1 PNICO23_20 + 1 PNICO23_20a + 1 PNICO23_20b;8.18;kcal/mol
21;-1 PNICO23_21 + 1 PNICO23_21a + 1 PNICO23_21b;4.92;kcal/mol
22;-1 PNICO23_22 + 1 PNICO23_22a + 1 PNICO23_22b;8.03;kcal/mol
23;-1 PNICO23_23 + 1 PNICO23_23a + 1 PNICO23_23b;10.97;kcal/mol
