1;-1 PX13_nh3_2 + 1 PX13_nh3_2_ts;59.3;kcal/mol
2;-1 PX13_nh3_3 + 1 PX13_nh3_3_ts;46.9;kcal/mol
3;-1 PX13_nh3_4 + 1 PX13_nh3_4_ts;48.4;kcal/mol
4;-1 PX13_h2o_2 + 1 PX13_h2o_2_ts;48.6;kcal/mol
5;-1 PX13_h2o_3 + 1 PX13_h2o_3_ts;29.8;kcal/mol
6;-1 PX13_h2o_4 + 1 PX13_h2o_4_ts;26.6;kcal/mol
7;-1 PX13_h2o_5 + 1 PX13_h2o_5_ts;30.1;kcal/mol
8;-1 PX13_h2o_6 + 1 PX13_h2o_6_ts;35.1;kcal/mol
9;-1 PX13_hf_2 + 1 PX13_hf_2_ts;42.3;kcal/mol
10;-1 PX13_hf_3 + 1 PX13_hf_3_ts;20.7;kcal/mol
11;-1 PX13_hf_4 + 1 PX13_hf_4_ts;14.7;kcal/mol
12;-1 PX13_hf_5 + 1 PX13_hf_5_ts;14.6;kcal/mol
13;-1 PX13_hf_6 + 1 PX13_hf_6_ts;16.6;kcal/mol
