1;-1 S22_01 + 2 S22_01a;3.133;kcal/mol
2;-1 S22_02 + 2 S22_02a;4.989;kcal/mol
3;-1 S22_03 + 2 S22_03a;18.753;kcal/mol
4;-1 S22_04 + 2 S22_04a;16.062;kcal/mol
5;-1 S22_05 + 2 S22_05a;20.641;kcal/mol
6;-1 S22_06 + 1 S22_06a + 1 S22_06b;16.934;kcal/mol
7;-1 S22_07 + 1 S22_07a + 1 S22_07b;16.66;kcal/mol
8;-1 S22_08 + 2 S22_08a;0.527;kcal/mol
9;-1 S22_09 + 2 S22_09a;1.472;kcal/mol
10;-1 S22_10 + 1 S22_10a + 1 S22_10b;1.448;kcal/mol
11;-1 S22_11 + 2 S22_11a;2.654;kcal/mol
12;-1 S22_12 + 2 S22_12a;4.255;kcal/mol
13;-1 S22_13 + 2 S22_13a;9.805;kcal/mol
14;-1 S22_14 + 1 S22_14a + 1 S22_14b;4.524;kcal/mol
15;-1 S22_15 + 1 S22_15a + 1 S22_15b;11.73;kcal/mol
16;-1 S22_16 + 1 S22_16a + 1 S22_16b;1.496;kcal/mol
17;-1 S22_17 + 1 S22_17a + 1 S22_17b;3.275;kcal/mol
18;-1 S22_18 + 1 S22_18a + 1 S22_18b;2.312;kcal/mol
19;-1 S22_19 + 1 S22_19a + 1 S22_19b;4.541;kcal/mol
20;-1 S22_20 + 1 S22_20a + 1 S22_20b;2.717;kcal/mol
21;-1 S22_21 + 1 S22_21a + 1 S22_21b;5.627;kcal/mol
22;-1 S22_22 + 1 S22_22a + 1 S22_22b;7.097;kcal/mol
