ReactionName;Reaction;ReferenceValue;Unit
1;-1 TAUT15_1a + 1 TAUT15_1b;4.30;kcal/mol
2;-1 TAUT15_2a + 1 TAUT15_2b;6.56;kcal/mol
3;-1 TAUT15_3a + 1 TAUT15_3b;-5.44;kcal/mol
4;-1 TAUT15_3a + 1 TAUT15_3c;5.25;kcal/mol
5;-1 TAUT15_3a + 1 TAUT15_3d;13.03;kcal/mol
6;-1 TAUT15_4a + 1 TAUT15_4b;0.93;kcal/mol
7;-1 TAUT15_5a + 1 TAUT15_5b;0.74;kcal/mol
8;-1 TAUT15_5a + 1 TAUT15_5c;1.45;kcal/mol
9;-1 TAUT15_6a + 1 TAUT15_6b;-0.17;kcal/mol
10;-1 TAUT15_6a + 1 TAUT15_6c;-0.87;kcal/mol
11;-1 TAUT15_6a + 1 TAUT15_6d;2.85;kcal/mol
12;-1 TAUT15_7a + 1 TAUT15_7b;2.15;kcal/mol
13;-1 TAUT15_8a + 1 TAUT15_8b;0.55;kcal/mol
14;-1 TAUT15_9a + 1 TAUT15_9b;0.95;kcal/mol
15;-1 TAUT15_10a + 1 TAUT15_10b;-0.45;kcal/mol
