ReactionName;Reaction;ReferenceValue;Unit
1;-1 UPU23_2p + 1 UPU23_1a;4.87;kcal/mol
2;-1 UPU23_2p + 1 UPU23_1b;2.97;kcal/mol
3;-1 UPU23_2p + 1 UPU23_1c;8.90;kcal/mol
4;-1 UPU23_2p + 1 UPU23_1g;2.22;kcal/mol
5;-1 UPU23_2p + 1 UPU23_1p;2.02;kcal/mol
6;-1 UPU23_2p + 1 UPU23_2a;3.14;kcal/mol
7;-1 UPU23_2p + 1 UPU23_5z;0.57;kcal/mol
8;-1 UPU23_2p + 1 UPU23_6p;3.32;kcal/mol
9;-1 UPU23_2p + 1 UPU23_7a;7.26;kcal/mol
10;-1 UPU23_2p + 1 UPU23_aa;3.96;kcal/mol
11;-1 UPU23_2p + 1 UPU23_1e;11.13;kcal/mol
12;-1 UPU23_2p + 1 UPU23_0a;4.82;kcal/mol
13;-1 UPU23_2p + 1 UPU23_1f;14.41;kcal/mol
14;-1 UPU23_2p + 1 UPU23_9a;5.15;kcal/mol
15;-1 UPU23_2p + 1 UPU23_4b;5.48;kcal/mol
16;-1 UPU23_2p + 1 UPU23_3a;6.84;kcal/mol
17;-1 UPU23_2p + 1 UPU23_7p;3.90;kcal/mol
18;-1 UPU23_2p + 1 UPU23_8d;6.43;kcal/mol
19;-1 UPU23_2p + 1 UPU23_3d;5.42;kcal/mol
20;-1 UPU23_2p + 1 UPU23_0b;6.70;kcal/mol
21;-1 UPU23_2p + 1 UPU23_1m;5.60;kcal/mol
22;-1 UPU23_2p + 1 UPU23_2h;10.42;kcal/mol
23;-1 UPU23_2p + 1 UPU23_3b;6.09;kcal/mol
