ReactionName;Reaction;ReferenceValue;Unit
1;-1 W4-11_h2 + 2 W4-11_h;109.493;kcal/mol
2;-1 W4-11_alh3 + 1 W4-11_al + 3 W4-11_h;213.169;kcal/mol
3;-1 W4-11_alh + 1 W4-11_al + 1 W4-11_h;73.570;kcal/mol
4;-1 W4-11_sih4 + 1 W4-11_si + 4 W4-11_h;324.945;kcal/mol
5;-1 W4-11_bh3 + 1 W4-11_b + 3 W4-11_h;281.287;kcal/mol
6;-1 W4-11_bh + 1 W4-11_b + 1 W4-11_h;84.995;kcal/mol
7;-1 W4-11_ch2-trip + 1 W4-11_c + 2 W4-11_h;190.745;kcal/mol
8;-1 W4-11_sih + 1 W4-11_si + 1 W4-11_h;73.921;kcal/mol
9;-1 W4-11_si2h6 + 2 W4-11_si + 6 W4-11_h;535.885;kcal/mol
10;-1 W4-11_ch3 + 1 W4-11_c + 3 W4-11_h;307.870;kcal/mol
11;-1 W4-11_ch4 + 1 W4-11_c + 4 W4-11_h;420.420;kcal/mol
12;-1 W4-11_b2h6 + 2 W4-11_b + 6 W4-11_h;607.023;kcal/mol
13;-1 W4-11_sih3f + 1 W4-11_si + 3 W4-11_h + 1 W4-11_f;382.753;kcal/mol
14;-1 W4-11_ph3 + 1 W4-11_p + 3 W4-11_h;242.267;kcal/mol
15;-1 W4-11_c2h6 + 2 W4-11_c + 6 W4-11_h;713.080;kcal/mol
16;-1 W4-11_propane + 3 W4-11_c + 8 W4-11_h;1007.909;kcal/mol
17;-1 W4-11_ch2-sing + 1 W4-11_c + 2 W4-11_h;181.456;kcal/mol
18;-1 W4-11_ch + 1 W4-11_c + 1 W4-11_h;84.221;kcal/mol
19;-1 W4-11_h2s + 2 W4-11_h + 1 W4-11_s;183.913;kcal/mol
20;-1 W4-11_hs + 1 W4-11_h + 1 W4-11_s;87.731;kcal/mol
21;-1 W4-11_c2h5f + 2 W4-11_c + 5 W4-11_h + 1 W4-11_f;721.502;kcal/mol
22;-1 W4-11_ch3nh2 + 1 W4-11_c + 1 W4-11_n + 5 W4-11_h;582.301;kcal/mol
23;-1 W4-11_ch3f + 1 W4-11_c + 1 W4-11_f + 3 W4-11_h;422.959;kcal/mol
24;-1 W4-11_propene + 3 W4-11_c + 6 W4-11_h;861.578;kcal/mol
25;-1 W4-11_nh3 + 1 W4-11_n + 3 W4-11_h;298.018;kcal/mol
26;-1 W4-11_ethanol + 2 W4-11_c + 1 W4-11_o + 6 W4-11_h;811.241;kcal/mol
27;-1 W4-11_ch3nh + 1 W4-11_c + 1 W4-11_n + 4 W4-11_h;474.629;kcal/mol
28;-1 W4-11_c2h4 + 2 W4-11_c + 4 W4-11_h;564.095;kcal/mol
29;-1 W4-11_methanol + 1 W4-11_c + 1 W4-11_o + 4 W4-11_h;513.501;kcal/mol
30;-1 W4-11_hcl + 1 W4-11_h + 1 W4-11_cl;107.499;kcal/mol
31;-1 W4-11_nh2 + 1 W4-11_n + 2 W4-11_h;182.591;kcal/mol
32;-1 W4-11_nh + 1 W4-11_n + 1 W4-11_h;83.096;kcal/mol
33;-1 W4-11_ch2nh2 + 1 W4-11_c + 1 W4-11_n + 4 W4-11_h;482.276;kcal/mol
34;-1 W4-11_bhf2 + 1 W4-11_b + 1 W4-11_h + 2 W4-11_f;410.973;kcal/mol
35;-1 W4-11_h2o + 2 W4-11_h + 1 W4-11_o;232.974;kcal/mol
36;-1 W4-11_hf + 1 W4-11_h + 1 W4-11_f;141.640;kcal/mol
37;-1 W4-11_ch2ch + 2 W4-11_c + 3 W4-11_h;446.081;kcal/mol
38;-1 W4-11_oh + 1 W4-11_o + 1 W4-11_h;107.208;kcal/mol
39;-1 W4-11_propyne + 3 W4-11_c + 4 W4-11_h;705.605;kcal/mol
40;-1 W4-11_acetaldehyde + 2 W4-11_c + 1 W4-11_o + 4 W4-11_h;677.864;kcal/mol
41;-1 W4-11_allene + 3 W4-11_c + 4 W4-11_h;704.100;kcal/mol
42;-1 W4-11_sif4 + 1 W4-11_si + 4 W4-11_f;577.780;kcal/mol
43;-1 W4-11_bf3 + 1 W4-11_b + 3 W4-11_f;470.973;kcal/mol
44;-1 W4-11_c2h3f + 2 W4-11_c + 1 W4-11_f + 3 W4-11_h;573.892;kcal/mol
45;-1 W4-11_oxirane + 2 W4-11_c + 1 W4-11_o + 4 W4-11_h;651.526;kcal/mol
46;-1 W4-11_ch2f2 + 1 W4-11_c + 2 W4-11_f + 2 W4-11_h;437.668;kcal/mol
47;-1 W4-11_alf3 + 1 W4-11_al + 3 W4-11_f;430.967;kcal/mol
48;-1 W4-11_bef2 + 1 W4-11_be + 2 W4-11_f;309.099;kcal/mol
49;-1 W4-11_ch2c + 2 W4-11_c + 2 W4-11_h;359.934;kcal/mol
50;-1 W4-11_n2h4 + 4 W4-11_h + 2 W4-11_n;438.281;kcal/mol
51;-1 W4-11_ch2nh + 1 W4-11_c + 1 W4-11_n + 3 W4-11_h;439.441;kcal/mol
52;-1 W4-11_alf + 1 W4-11_al + 1 W4-11_f;163.780;kcal/mol
53;-1 W4-11_acetic + 2 W4-11_c + 2 W4-11_o + 4 W4-11_h;804.017;kcal/mol
54;-1 W4-11_c2h2 + 2 W4-11_c + 2 W4-11_h;405.525;kcal/mol
55;-1 W4-11_h2co + 2 W4-11_h + 1 W4-11_c + 1 W4-11_o;374.658;kcal/mol
56;-1 W4-11_h2cn + 2 W4-11_h + 1 W4-11_c + 1 W4-11_n;343.749;kcal/mol
57;-1 W4-11_bf + 1 W4-11_b + 1 W4-11_f;182.517;kcal/mol
58;-1 W4-11_becl2 + 1 W4-11_be + 2 W4-11_cl;225.274;kcal/mol
59;-1 W4-11_t-hcoh + 1 W4-11_c + 1 W4-11_o + 2 W4-11_h;322.477;kcal/mol
60;-1 W4-11_alcl3 + 1 W4-11_al + 3 W4-11_cl;312.651;kcal/mol
61;-1 W4-11_c-hcoh + 1 W4-11_c + 1 W4-11_o + 2 W4-11_h;317.647;kcal/mol
62;-1 W4-11_alcl + 1 W4-11_al + 1 W4-11_cl;122.618;kcal/mol
63;-1 W4-11_ketene + 2 W4-11_c + 1 W4-11_o + 2 W4-11_h;533.462;kcal/mol
64;-1 W4-11_sif + 1 W4-11_si + 1 W4-11_f;142.710;kcal/mol
65;-1 W4-11_formic + 1 W4-11_c + 2 W4-11_o + 2 W4-11_h;501.899;kcal/mol
66;-1 W4-11_hcnh + 1 W4-11_c + 1 W4-11_n + 2 W4-11_h;336.249;kcal/mol
67;-1 W4-11_glyoxal + 2 W4-11_c + 2 W4-11_o + 2 W4-11_h;635.101;kcal/mol
68;-1 W4-11_hcof + 1 W4-11_c + 1 W4-11_o + 1 W4-11_f + 1 W4-11_h;403.743;kcal/mol
69;-1 W4-11_nh2cl + 1 W4-11_n + 1 W4-11_cl + 2 W4-11_h;248.059;kcal/mol
70;-1 W4-11_cf4 + 1 W4-11_c + 4 W4-11_f;478.760;kcal/mol
71;-1 W4-11_hccf + 2 W4-11_c + 1 W4-11_f + 1 W4-11_h;398.472;kcal/mol
72;-1 W4-11_hcn + 1 W4-11_h + 1 W4-11_c + 1 W4-11_n;313.418;kcal/mol
73;-1 W4-11_hnc + 1 W4-11_h + 1 W4-11_c + 1 W4-11_n;298.203;kcal/mol
74;-1 W4-11_cch + 2 W4-11_c + 1 W4-11_h;266.163;kcal/mol
75;-1 W4-11_hco + 1 W4-11_h + 1 W4-11_c + 1 W4-11_o;279.422;kcal/mol
76;-1 W4-11_co + 1 W4-11_c + 1 W4-11_o;259.727;kcal/mol
77;-1 W4-11_oxirene + 2 W4-11_c + 1 W4-11_o + 2 W4-11_h;456.072;kcal/mol
78;-1 W4-11_f2co + 1 W4-11_c + 1 W4-11_o + 2 W4-11_f;420.636;kcal/mol
79;-1 W4-11_hocn + 1 W4-11_c + 1 W4-11_o + 1 W4-11_n + 1 W4-11_h;410.066;kcal/mol
80;-1 W4-11_hooh + 2 W4-11_h + 2 W4-11_o;269.089;kcal/mol
81;-1 W4-11_t-n2h2 + 2 W4-11_h + 2 W4-11_n;296.534;kcal/mol
82;-1 W4-11_hnco + 1 W4-11_c + 1 W4-11_o + 1 W4-11_n + 1 W4-11_h;434.737;kcal/mol
83;-1 W4-11_c-n2h2 + 2 W4-11_h + 2 W4-11_n;291.135;kcal/mol
84;-1 W4-11_cf2 + 1 W4-11_c + 2 W4-11_f;258.782;kcal/mol
85;-1 W4-11_co2 + 1 W4-11_c + 2 W4-11_o;390.141;kcal/mol
86;-1 W4-11_fccf + 2 W4-11_c + 2 W4-11_f;386.087;kcal/mol
87;-1 W4-11_dioxirane + 1 W4-11_c + 2 W4-11_o + 2 W4-11_h;410.029;kcal/mol
88;-1 W4-11_cf + 1 W4-11_c + 1 W4-11_f;132.721;kcal/mol
89;-1 W4-11_ssh + 2 W4-11_s + 1 W4-11_h;165.128;kcal/mol
90;-1 W4-11_hocl + 1 W4-11_h + 1 W4-11_o + 1 W4-11_cl;166.229;kcal/mol
91;-1 W4-11_nccn + 2 W4-11_n + 2 W4-11_c;502.037;kcal/mol
92;-1 W4-11_n2 + 2 W4-11_n;228.485;kcal/mol
93;-1 W4-11_n2h + 2 W4-11_n + 1 W4-11_h;224.864;kcal/mol
94;-1 W4-11_ocs + 1 W4-11_o + 1 W4-11_c + 1 W4-11_s;335.747;kcal/mol
95;-1 W4-11_sio + 1 W4-11_si + 1 W4-11_o;193.052;kcal/mol
96;-1 W4-11_clcn + 1 W4-11_cl + 1 W4-11_c + 1 W4-11_n;285.447;kcal/mol
97;-1 W4-11_hoo + 1 W4-11_h + 2 W4-11_o;175.533;kcal/mol
98;-1 W4-11_hcno + 1 W4-11_c + 1 W4-11_o + 1 W4-11_n + 1 W4-11_h;364.971;kcal/mol
99;-1 W4-11_honc + 1 W4-11_c + 1 W4-11_o + 1 W4-11_n + 1 W4-11_h;350.149;kcal/mol
100;-1 W4-11_hno + 1 W4-11_h + 1 W4-11_n + 1 W4-11_o;205.890;kcal/mol
101;-1 W4-11_hof + 1 W4-11_h + 1 W4-11_o + 1 W4-11_f;158.653;kcal/mol
102;-1 W4-11_c-hono + 1 W4-11_h + 1 W4-11_n + 2 W4-11_o;312.219;kcal/mol
103;-1 W4-11_t-hono + 1 W4-11_h + 1 W4-11_n + 2 W4-11_o;312.649;kcal/mol
104;-1 W4-11_cs2 + 1 W4-11_c + 2 W4-11_s;280.778;kcal/mol
105;-1 W4-11_hnnn + 1 W4-11_h + 3 W4-11_n;331.785;kcal/mol
106;-1 W4-11_cs + 1 W4-11_c + 1 W4-11_s;172.218;kcal/mol
107;-1 W4-11_cn + 1 W4-11_c + 1 W4-11_n;181.350;kcal/mol
108;-1 W4-11_so3 + 1 W4-11_s + 3 W4-11_o;346.943;kcal/mol
109;-1 W4-11_ccl2 + 1 W4-11_c + 2 W4-11_cl;177.357;kcal/mol
110;-1 W4-11_bn3pi + 1 W4-11_b + 1 W4-11_n;105.815;kcal/mol
