ReactionName;Reaction;ReferenceValue;Unit
1;-1 WATER27_H2O2 + 2 WATER27_H2O;4.974;kcal/mol
2;-1 WATER27_H2O3 + 3 WATER27_H2O;15.708;kcal/mol
3;-1 WATER27_H2O4 + 4 WATER27_H2O;27.353;kcal/mol
4;-1 WATER27_H2O5 + 5 WATER27_H2O;35.879;kcal/mol
5;-1 WATER27_H2O6 + 6 WATER27_H2O;45.988;kcal/mol
6;-1 WATER27_H2O6c + 6 WATER27_H2O;45.733;kcal/mol
7;-1 WATER27_H2O6b + 6 WATER27_H2O;45.292;kcal/mol
8;-1 WATER27_H2O6c2 + 6 WATER27_H2O;44.296;kcal/mol
9;-1 WATER27_H2O8d2d + 8 WATER27_H2O;72.490;kcal/mol
10;-1 WATER27_H2O8s4 + 8 WATER27_H2O;72.454;kcal/mol
11;-1 WATER27_H2O20 + 20 WATER27_H2O;197.804;kcal/mol
12;-1 WATER27_H2O20fc + 20 WATER27_H2O;207.534;kcal/mol
13;-1 WATER27_H2O20fs + 20 WATER27_H2O;207.763;kcal/mol
14;-1 WATER27_H2O20es + 20 WATER27_H2O;209.081;kcal/mol
15;-1 WATER27_H3OpH2O + 1 WATER27_H3Op + 1 WATER27_H2O;33.738;kcal/mol
16;-1 WATER27_H3OpH2O2 + 1 WATER27_H3Op + 2 WATER27_H2O;57.114;kcal/mol
17;-1 WATER27_H3OpH2O3 + 1 WATER27_H3Op + 3 WATER27_H2O;76.755;kcal/mol
18;-1 WATER27_H3OpH2O63d + 1 WATER27_H3Op + 6 WATER27_H2O;117.683;kcal/mol
19;-1 WATER27_H3OpH2O62d + 1 WATER27_H3Op + 6 WATER27_H2O;114.819;kcal/mol
20;-1 WATER27_OHmH2O + 1 WATER27_OHm + 1 WATER27_H2O;26.687;kcal/mol
21;-1 WATER27_OHmH2O2 + 1 WATER27_OHm + 2 WATER27_H2O;48.688;kcal/mol
22;-1 WATER27_OHmH2O3 + 1 WATER27_OHm + 3 WATER27_H2O;67.525;kcal/mol
23;-1 WATER27_OHmH2O4c4 + 1 WATER27_OHm + 4 WATER27_H2O;84.351;kcal/mol
24;-1 WATER27_OHmH2O4cs + 1 WATER27_OHm + 4 WATER27_H2O;85.015;kcal/mol
25;-1 WATER27_OHmH2O5 + 1 WATER27_OHm + 5 WATER27_H2O;100.782;kcal/mol
26;-1 WATER27_OHmH2O6 + 1 WATER27_OHm + 6 WATER27_H2O;115.672;kcal/mol
27;1 WATER27_H3OpH2O6OHm + -1 WATER27_H2O8s4;29.605;kcal/mol
