ReactionName;Reaction;ReferenceValue;Unit
1;-1 YBDE18_f2s-cbh22 + 1 YBDE18_f2s + 1 YBDE18_cbh22;57.17;kcal/mol
2;-1 YBDE18_f2s-ch2 + 1 YBDE18_f2s + 1 YBDE18_ch2;91.14;kcal/mol
3;-1 YBDE18_h2s-cbh22 + 1 YBDE18_h2s + 1 YBDE18_cbh22;20.96;kcal/mol
4;-1 YBDE18_h2s-ch2 + 1 YBDE18_h2s + 1 YBDE18_ch2;36.40;kcal/mol
5;-1 YBDE18_me2s-cbh22 + 1 YBDE18_me2s + 1 YBDE18_cbh22;38.99;kcal/mol
6;-1 YBDE18_me2s-ch2 + 1 YBDE18_me2s + 1 YBDE18_ch2;51.74;kcal/mol
7;-1 YBDE18_nf3-cbh22 + 1 YBDE18_nf3 + 1 YBDE18_cbh22;12.31;kcal/mol
8;-1 YBDE18_nf3-ch2 + 1 YBDE18_nf3 + 1 YBDE18_ch2;53.73;kcal/mol
9;-1 YBDE18_nh3-cbh22 + 1 YBDE18_nh3 + 1 YBDE18_cbh22;32.58;kcal/mol
10;-1 YBDE18_nh3-ch2 + 1 YBDE18_nh3 + 1 YBDE18_ch2;28.87;kcal/mol
11;-1 YBDE18_nme3-cbh22 + 1 YBDE18_nme3 + 1 YBDE18_cbh22;42.11;kcal/mol
12;-1 YBDE18_nme3-ch2 + 1 YBDE18_nme3 + 1 YBDE18_ch2;42.81;kcal/mol
13;-1 YBDE18_pf3-cbh22 + 1 YBDE18_pf3 + 1 YBDE18_cbh22;52.28;kcal/mol
14;-1 YBDE18_pf3-ch2 + 1 YBDE18_pf3 + 1 YBDE18_ch2;76.37;kcal/mol
15;-1 YBDE18_ph3-cbh22 + 1 YBDE18_ph3 + 1 YBDE18_cbh22;44.80;kcal/mol
16;-1 YBDE18_ph3-ch2 + 1 YBDE18_ph3 + 1 YBDE18_ch2;60.11;kcal/mol
17;-1 YBDE18_pme3-cbh22 + 1 YBDE18_pme3 + 1 YBDE18_cbh22;66.59;kcal/mol
18;-1 YBDE18_pme3-ch2 + 1 YBDE18_pme3 + 1 YBDE18_ch2;78.00;kcal/mol
